date,hr,temp,sleep_hrs,stress_score,steps,study_hrs,attendance_pct,academic_risk
2024-06-18,68.24530791731999,37.008427787438976,5.067374846826805,1,7144,1.60024884528606,86.01814523099122,0
2024-06-19,76.29289427982518,37.16465757538017,9.25296703486225,5,3360,6.007556777043389,94.33650025320193,0
2024-06-20,72.15137035129632,37.32932547423496,7.009838488966121,6,13269,2.5652038871336913,88.56046244670657,1
2024-06-21,85.3080315934799,37.12923343427625,9.44518956794955,6,3948,5.950697530978539,84.03035079557284,0
2024-06-22,74.12053033400234,36.62869953465978,7.494743728124401,8,12164,0.0,100.0,1
2024-06-23,81.35423872275493,36.95483240371245,6.534150298007329,5,12030,4.360330966377767,87.675618548693,0
2024-06-24,68.01435944387948,37.21468168239802,7.7360422239537625,4,8667,4.947619077619233,100.0,0
2024-06-25,83.74800835186362,37.012919263633314,8.574942100660824,6,6182,3.0751654614337096,83.29949542535934,0
2024-06-26,77.04866994505433,36.937857302825904,7.525570362759067,9,12131,0.22898702562909046,84.91066962706238,1
2024-06-27,87.02478822045357,36.9462739122802,7.109730940800167,3,11198,4.124758534580412,74.56604211351012,0
2024-06-28,73.37955770089307,36.14573124259738,6.413388146151213,3,7705,1.101611326800873,90.33223494410176,0
2024-06-29,50.03288551915713,36.847627390236894,6.597756944171421,6,6928,0.7689799394928314,77.20170585141899,0
2024-06-30,92.07198931786469,36.998086157222815,5.964593095421297,2,14505,2.417027522338333,75.62131294539225,0
2024-07-01,70.42631789268322,37.57166535836092,6.348483155927943,2,9213,0.03894714491844953,76.40552423191232,0
2024-07-02,70.72393783177493,36.370637886646236,6.193340180995373,6,9673,5.609210159875713,96.85992342329044,0
2024-07-03,75.72502943524987,36.179356354896356,8.662272597497887,8,2989,2.798087990112313,95.40956505512942,0
2024-07-04,81.62170088463724,37.41216071436667,8.478609997041524,5,6166,0.0,67.92342665794162,0
2024-07-05,76.13318599079648,37.13145725348544,10.380093646663953,7,13728,3.68822353178337,95.52796896493672,0
2024-07-06,77.56613739083323,36.5065875776792,8.331499602123051,8,13657,6.261389702784282,100.0,0
2024-07-07,81.55706201522291,36.450161400137716,8.492010492521201,8,8717,3.5370460105766677,81.81849803673423,1
2024-07-08,58.0528375302689,37.547932992188706,9.801347900910367,2,8682,2.697199799588938,77.94024895322391,0
